Word,Word_freq
dumplings,360
soup,304
not,152
good,119
pork,118
place,116
food,101
wait,101
joe's,99
shanghai,91
very,72
table,71
one,70
out,69
new,69
more,64
fried,61
like,61
because,60
restaurant,60
about,59
come,59
order,58
came,58
will,57
from,57
an,56
noodles,54
our,53
long,53
ordered,52
crab,51
got,50
service,49
too,49
cash,49
location,48
or,48
than,48
chinatown,46
best,45
can,44
really,44
time,43
people,43
try,43
some,42
well,41
definitely,41
by,40
scallion,40
back,40
go,39
has,39
chinese,39
rice,38
i've,38
you're,38
don't,38
up,38
them,38
around,38
even,37
great,37
much,36
what,36
no,36
delicious,36
seated,36
been,35
do,35
worth,35
eat,35
me,33
pretty,33
still,33
didn't,32
meat,31
would,31
party,31
dishes,31
sure,31
i'm,31
bit,31
sauce,31
two,30
before,30
us,30
same,29
since,29
first,29
better,29
inside,29
make,29
bao,28
minutes,27
nyc,27
after,27
how,27
xiao,27
tables,26
those,26
xlb,26
chicken,26
always,26
hot,26
beef,26
probably,26
recommend,25
restaurants,24
big,24
most,24
wasn't,24
line,24
coming,24
pancakes,24
dish,23
menu,23
experience,23
large,23
flavor,23
can't,23
group,23
small,22
being,22
these,22
could,22
went,22
then,22
take,22
eating,22
wanted,22
meal,21
crispy,21
waiting,21
pancake,21
though,21
taste,21
super,21
tip,21
skin,20
love,20
they're,20
down,20
each,20
many,20
outside,20
reviews,20
spot,20
now,20
busy,20
that's,20
say,20
want,19
quick,19
thing,19
i'd,19
2,19
its,19
places,19
any,19
everything,19
need,19
another,18
maybe,18
ever,18
space,18
york,18
know,18
there's,18
again,18
quality,18
must,18
4,18
few,18
however,17
usually,17
overall,17
lot,17
fast,17
over,17
ones,17
packed,17
little,17
old,17
said,17
nice,17
visit,16
waited,16
amazing,16
authentic,16
8,16
did,16
times,16
thick,16
huge,16
way,16
both,16
seating,15
find,15
into,15
top,15
give,15
seat,15
staff,15
bad,15
area,15
share,15
noodle,15
during,14
broth,14
vinegar,14
number,14
review,14
tea,14
already,14
right,14
friends,14
sit,14
start,14
flavorful,14
hype,14
xlbs,14
while,14
bring,14
bite,14
put,13
unless,13
never,13
going,13
check,13
hard,13
am,13
family,13
getting,13
took,13
nothing,13
things,13
saturday,13
shrimp,13
else,13
cold,13
off,13
friend,13
isn't,13
orders,13
tourist,13
favorite,13
years,13
street,13
price,13
okay,12
feel,12
ordering,12
side,12
expect,12
famous,12
enough,12
atm,12
called,12
asian,12
see,12
filled,12
prices,12
you'll,12
he,12
next,12
city,12
honestly,12
decided,11
fan,11
shared,11
night,11
last,11
think,11
used,11
round,11
bigger,11
less,11
lunch,11
highly,11
pay,11
tasted,11
perfect,11
keep,11
almost,11
amount,11
look,11
served,11
afternoon,11
popular,10
tourists,10
juicy,10
communal,10
perfectly,10
minute,10
tried,10
hit,10
lots,10
steamed,10
looks,10
especially,10
who,10
spoon,10
kind,10
15%,10
strangers,10
home,10
mind,10
soon,10
something,10
might,10
prepared,10
sharing,10
once,10
15,10
salty,10
every,10
style,10
finally,10
expected,10
pan,9
serve,9
disappointed,9
note,9
lol,9
seafood,9
tasty,9
dinner,9
ask,9
enjoyed,9
items,9
day,9
looking,9
parties,9
why,9
such,9
clean,9
din,9
pell,9
water,9
although,9
regular,9
remember,9
happy,9
left,9
known,9
whole,9
tai,8
beans,8
10,8
sat,8
bowery,8
fung,8
spicy,8
impressed,8
portions,8
actually,8
own,8
different,8
anything,8
stars,8
ready,8
looked,8
size,8
should,8
decent,8
through,8
hour,8
found,8
hours,8
xiaolongbao,8
hole,8
person,8
flat,8
ny,8
crowded,8
add,8
groups,8
trust,8
quite,8
learn,8
solid,8
made,8
everyone,8
felt,8
locals,8
general,8
visiting,8
open,8
fresh,7
expectations,7
despite,7
cakes,7
end,7
special,7
liked,7
able,7
done,7
evening,7
sesame,7
enjoy,7
total,7
alter,7
between,7
soy,7
bill,7
part,7
several,7
yelp,7
bland,7
remove,7
early,7
dry,7
veggies,7
l,7
changed,7
added,7
may,7
atmosphere,7
care,7
wouldn't,7
30,7
i'll,7
friendly,7
chewy,7
businesses,7
decor,7
average,7
5,7
high,7
full,7
dining,7
3,7
concern,7
spring,7
joe,7
stuff,7
recently,7
yet,7
extremely,7
takeout,7
6,7
told,6
traditional,6
extra,6
away,6
least,6
texture,6
slightly,6
ratio,6
quickly,6
leave,6
stop,6
due,6
filling,6
list,6
plate,6
n,6
drink,6
absolutely,6
until,6
szechuan,6
shanghainese,6
plates,6
thought,6
course,6
let,6
comes,6
sweet,6
kept,6
gratuity,6
deep,6
compared,6
careful,6
yes,6
oil,6
without,6
nicer,6
oily,6
attention,6
front,6
rolls,6
trap,6
ginger,6
wrong,6
yourself,6
makes,6
moved,6
brought,5
manhattan,5
interior,5
bamboo,5
st,5
asked,5
orange,5
including,5
sitting,5
larger,5
free,5
does,5
mouth,5
appetizer,5
second,5
&,5
having,5
smell,5
american,5
easily,5
thicker,5
sautéed,5
wish,5
easy,5
return,5
non,5
customers,5
excellent,5
piping,5
included,5
standard,5
personal,5
recommended,5
opinion,5
gets,5
either,5
tax,5
point,5
heard,5
automatically,5
thin,5
tons,5
often,5
chili,5
incredible,5
speak,5
immediately,5
real,5
finish,5
license,5
tell,5
itself,5
where,5
later,5
classic,5
based,5
comfortable,5
surprised,5
reason,5
expensive,5
personally,5
seems,5
saw,5
hungry,5
rich,5
ate,5
fairly,5
loved,5
string,5
bean,5
w,5
sour,5
trying,5
45,5
walk,5
along,5
fish,5
20,5
cleaner,5
pepper,5
trip,5
kitchen,5
chow,4
per,4
fact,4
multiple,4
whatever,4
feels,4
single,4
ago,4
cake,4
surprisingly,4
poke,4
eaten,4
arrived,4
avoid,4
entree,4
likely,4
instead,4
overhyped,4
curd,4
goto,4
ok,4
placed,4
chance,4
gone,4
available,4
fill,4
others,4
sort,4
e,4
25,4
preference,4
spots,4
cheap,4
elsewhere,4
weren't,4
today,4
describe,4
soupy,4
shredded,4
higher,4
c,4
live,4
crowd,4
flushing,4
ambiance,4
brighter,4
private,4
original,4
pieces,4
taking,4
aren't,4
believe,4
deal,4
means,4
pao,4
green,4
baos,4
work,4
heavy,4
cause,4
guy,4
finished,4
t,4
establishment,4
located,4
local,4
idea,4
fit,4
typical,4
excited,4
luckily,4
three,4
seen,4
fine,4
mine,4
noticed,4
diners,4
mein,4
chop,4
lo,4
miss,4
true,4
head,4
totally,4
charge,4
ended,4
reservations,4
rest,4
generous,4
seeing,4
limited,4
